termek;szin;meret;m2;db;ossz_m2;egyseg_ar;netto_ar;kod
R3;Pure White;718x250;0.180;20;3.5900;8,32;166,40;NFAH_ANT_FEAS_718x250
R3 - ├ťveges;Pure White;357x447;0.160;10;1.5960;7,39;73,90;NFAU_ANT_FEAS_357x447
R3 - ├ťveges;Pure White;357x897;0.320;10;3.2020;14,84;148,40;NFAU_ANT_FEAS_357x897
R3 - ├ťveges;Pure White;718x397;0.285;20;5.7000;13,21;264,20;NFAU_ANT_FEAS_718x397
R3 - ├ťveges;Pure White;718x420;0.302;10;3.0160;13,97;139,70;NFAU_ANT_FEAS_718x420
R3 - ├ťveges;Pure White;718x447;0.321;10;3.2090;14,87;148,70;NFAU_ANT_FEAS_718x447
R3;Pure White;115x597;0.069;20;1.3740;3,18;63,60;NFA_ANT_FEAS_115x597
R3;Pure White;125x397;0.050;10;0.4960;2,30;23,00;NFA_ANT_FEAS_125x397
R3;Pure White;125x447;0.056;10;0.5590;2,59;25,90;NFA_ANT_FEAS_125x447
R3;Pure White;125x497;0.062;10;0.6210;2,88;28,80;NFA_ANT_FEAS_125x497
R3;Pure White;125x597;0.075;20;1.4920;3,46;69,20;NFA_ANT_FEAS_125x597
R3;Pure White;125x797;0.100;10;0.9960;4,62;46,20;NFA_ANT_FEAS_125x797
R3;Pure White;125x897;0.112;10;1.1210;5,20;52,00;NFA_ANT_FEAS_125x897
R3;Pure White;1313x397;0.521;10;5.2130;24,16;241,60;NFA_ANT_FEAS_1313x397
R3;Pure White;1313x597;0.784;10;7.8390;36,32;363,20;NFA_ANT_FEAS_1313x597
R3;Pure White;293x397;0.116;10;1.1630;5,39;53,90;NFA_ANT_FEAS_293x397
R3;Pure White;293x447;0.131;10;1.3100;6,07;60,70;NFA_ANT_FEAS_293x447
R3;Pure White;293x497;0.146;10;1.4560;6,75;67,50;NFA_ANT_FEAS_293x497
R3;Pure White;293x597;0.175;40;6.9960;8,11;324,40;NFA_ANT_FEAS_293x597
R3;Pure White;293x797;0.234;10;2.3350;10,82;108,20;NFA_ANT_FEAS_293x797
R3;Pure White;293x897;0.263;20;5.2560;12,18;243,60;NFA_ANT_FEAS_293x897
R3;Pure White;327x597;0.195;10;1.9520;9,05;90,50;NFA_ANT_FEAS_327x597
R3;Pure White;357x243;0.087;10;0.8680;4,02;40,20;NFA_ANT_FEAS_357x243
